epoch,train_loss,train_acc,val_loss,val_acc
1,1.4452546121430223,0.322764598540146,1.3823278176023606,0.3372340425531915
2,1.2752874175997546,0.3665602189781022,1.3583113911304068,0.34361702127659577
3,1.2416677944851617,0.3939324817518248,1.3693064994000375,0.32553191489361705
4,1.2603587090534016,0.37545620437956206,1.363557377521028,0.33404255319148934
5,1.2249467120553454,0.38480839416058393,1.3596095430090072,0.2957446808510638
6,1.2201576058881995,0.3907390510948905,1.3522165881826522,0.32978723404255317
7,1.1741711510358936,0.40625,1.3347285438091196,0.30957446808510636
8,1.194466993756538,0.3939324817518248,1.3478955999333808,0.3425531914893617
9,1.1595378304920057,0.40374087591240876,1.3915991121150078,0.32978723404255317
10,1.2048296493335362,0.3925638686131387,1.4001421197931818,0.30851063829787234
11,1.2073512523278702,0.3864051094890511,1.3260454289456631,0.34893617021276596
12,1.179121582612504,0.4051094890510949,1.3355713063098014,0.4085106382978723
13,1.1978328114878523,0.4071624087591241,1.3147443961589895,0.33297872340425533
14,1.144392170610219,0.4231295620437956,1.332647218602769,0.40638297872340423
15,1.1919246946808195,0.3948448905109489,1.3301507683510476,0.3074468085106383
