epoch,train_loss,train_acc,val_loss,val_acc
1,1.4203650024685546,0.3323448905109489,1.4013083402146684,0.3148936170212766
2,1.2711815847097523,0.3738594890510949,1.3572361202950174,0.3180851063829787
3,1.2453870264283062,0.37431569343065696,1.3524532723934093,0.2531914893617021
4,1.2168131840490077,0.3813868613138686,1.356486019682377,0.28829787234042553
5,1.1864661648325676,0.395985401459854,1.3291767105143122,0.2691489361702128
6,1.167986531762311,0.39575729927007297,1.323250675201416,0.3202127659574468
7,1.1800864482448048,0.39735401459854014,1.3462941377720934,0.2946808510638298
8,1.1514477172907251,0.41719890510948904,1.3414428868192307,0.33617021276595743
9,1.1562918546426035,0.395529197080292,1.3411075023894614,0.3723404255319149
10,1.1643536556376157,0.4010036496350365,1.3478847742080688,0.31063829787234043
11,1.1641216386843771,0.3905109489051095,1.3426778204897616,0.3202127659574468
12,1.121972760579882,0.40488138686131386,1.3379316248792283,0.324468085106383
13,1.1578163274013213,0.40647810218978103,1.3168649998117001,0.3797872340425532
14,1.1541164130189994,0.40260036496350365,1.355872778182334,0.33085106382978724
15,1.1280693076822879,0.41332116788321166,1.3236299367661173,0.3191489361702128
