epoch,train_loss,train_acc,val_loss,val_acc
1,1.5051811572409024,0.3364507299270073,1.4480911990429493,0.24468085106382978
2,1.3104145039607138,0.3802463503649635,1.3843001730898594,0.28404255319148936
3,1.2318888041224794,0.38207116788321166,1.3521123132807142,0.32340425531914896
4,1.2203017251334922,0.4135492700729927,1.3323572833487327,0.34361702127659577
5,1.2129671765069892,0.4114963503649635,1.3185697398287184,0.298936170212766
6,1.176887955978839,0.4085310218978102,1.331506727604156,0.2946808510638298
7,1.15666083654348,0.4142335766423358,1.300119966141721,0.38085106382978723
8,1.1370483950106767,0.4156021897810219,1.3211251319722925,0.35212765957446807
9,1.149775629060982,0.41947992700729925,1.3196304341580005,0.3202127659574468
10,1.1358268256605106,0.4197080291970803,1.3055077436122489,0.3819148936170213
11,1.1506613349392467,0.40647810218978103,1.3077258515865244,0.36914893617021277
12,1.1314778019041911,0.41788321167883213,1.3116216781291556,0.35106382978723405
13,1.126121637594961,0.4233576642335766,1.2915285206855611,0.37127659574468086
14,1.1215441018125436,0.4176551094890511,1.290412685972579,0.3638297872340426
15,1.1156190929621677,0.4187956204379562,1.2871987860253518,0.36914893617021277
