epoch,train_loss,train_acc,val_loss,val_acc
1,1.5211025050086697,0.333485401459854,1.4501299543583648,0.32659574468085106
2,1.2866911366038079,0.3722627737226277,1.3694990239244826,0.3404255319148936
3,1.2615639724000527,0.3791058394160584,1.3646777340706358,0.32978723404255317
4,1.2216005338369496,0.38800182481751827,1.3457199395971096,0.37659574468085105
5,1.1993298382654678,0.39575729927007297,1.334436703235545,0.3659574468085106
6,1.1820372704171787,0.3916514598540146,1.3326265302110225,0.3882978723404255
7,1.2182025222012596,0.40260036496350365,1.3271336938472504,0.33085106382978724
8,1.137637413331192,0.4012317518248175,1.3052851588168042,0.3468085106382979
9,1.1488109927107817,0.4101277372262774,1.3069463920085989,0.3904255319148936
10,1.1466758290346521,0.40875912408759124,1.3050078016646365,0.3478723404255319
11,1.1295775044573484,0.4217609489051095,1.305932237239594,0.35212765957446807
12,1.12739764034313,0.42541058394160586,1.2971589253303852,0.35851063829787233
13,1.1413076650487246,0.42358576642335766,1.2927966024013275,0.33191489361702126
14,1.1237573963012137,0.4112682481751825,1.2883263217641951,0.39148936170212767
15,1.1193336622558372,0.4185675182481752,1.2966719840435272,0.3404255319148936
